mhy_id,name,introduction,entrance_description,consumption,online,task,date,prob_product,fix_product,master,icon,abnormal_situation,recommended_element,label
4484,童梦的切片,在过去曾经是森林的孩子，依照另一些孩子所描绘的森林构建的梦中乐园。 在他们的记忆中，森林是无比广袤的，就和世界一样：森林又是无比深邃的，就和命运一样。 虽然世界的尺度和命运的浅薄最终令人失望，但这样的幻想还是留在了苗圃深处。,原本是充满了冒险与奇趣的梦，是孩子们的游戏场。如今已经被不堪死域侵扰的蕈兽与一些更危险的，带来灾难的魔物占据了…,暂无,否,否,暂无,,"['摩拉', '冒险阅历']","['遗迹龙兽·地巡', '伸缩风蕈兽', '伸缩岩蕈兽', '旋转冰蕈兽', '旋转雷蕈兽', '伸缩火蕈兽', '遗迹龙兽·空巡', '浮游草蕈兽']",https://uploadstatic.mihoyo.com/ys-obc/2022/08/22/79683714/418bb7f16fe97db840ea923dee2d5542_1832129417968972260.png,暂无,草,instance
4485,河谷的黯道,传说月曾有相。而在白弓般的凶相之月下，森林迷宫的路途会将迷误之人带到翡翠色与琥珀色的梦里。森林的迷宫在数百年前就已经不复存在了，但千百年的岁月在梦的花园中或许也不过是一朝一夕之事吧。,此间的秘境中出现了不知从何而来的沙漠贼匪。或许他们的手中有着不为人知的宝藏吧。,暂无,否,否,暂无,,"['摩拉', '冒险阅历']","['镀金旅团·破阵者', '镀金旅团·机弩兵', '镀金旅团·鸦喙戟手', '镀金旅团·沙中净水', '镀金旅团·炽阳凝冰', '镀金旅团·白日鸣雷', '镀金旅团·刀舞者']",https://uploadstatic.mihoyo.com/ys-obc/2022/08/21/79683714/e446cf6e3d26eed3c6c2eb93467abb97_5844635873251320579.png,暂无,草,instance
4488,晴雨的经纬,依照传说，司草木的女神在沙漠的一角唤出能召来甘霖的精灵，名之曰「法留纳」亦即「水天」。 传说中如今身殁的森林王用树篱与溪流、石榴的孩子用梦和幻境，一同构建出了和树根一般深、一般复杂的迷宫，来守护晴雨的秘密。,时至今日偶然也有渴求秘密的人与贼人深入水天丛林的古迹，搜寻晴雨的流转。最终他们会迷失在如同蛛网般错综复杂的森林之梦中。,暂无,否,否,暂无,,"['摩拉', '冒险阅历']","['镀金旅团·阵前斧手', '镀金旅团·破阵者', '愚人众·藏镜仕女', '镀金旅团·机弩兵', '镀金旅团·沙中净水', '镀金旅团·炽阳凝冰', '镀金旅团·白日鸣雷', '镀金旅团·刀舞者']",https://uploadstatic.mihoyo.com/ys-obc/2022/08/21/79683714/b0e3de182ca4e83384b167d336eff564_8660111831059320483.png,暂无,草,instance
4810,赤沙之槛,传说曾有一位王子被其亲父流放、关押在这座监牢。在暗无天日的孤独与遗忘之中，黄铜色的启示最初从此处浮现…,贤智之人曾在古城的这一角论道，描绘砂原王梦想的轮廓。在泡沬破碎后，又沦为囚人的暗室。如今这里则是魔物的温床。但其中或许仍留存着往日的宝藏吧。,暂无,否,否,暂无,,"['摩拉', '冒险阅历']","['丘丘岩盔王', '木盾丘丘暴徒', '岩龙蜥', '火斧丘丘暴徒', '丘丘雷兜王']",https://uploadstatic.mihoyo.com/ys-obc/2022/09/26/79683714/9bef7e9acc4e2a47ac9e4ebe3694808b_7521054191810643018.png,暂无,草,instance
4818,千柱的花园,一度被数千巨柱主宰的富饶殿堂，权贵与神官曾在其中通行无阻。「蓝宝石之城」一切全部的高傲与奢华如今留下的只有残垣断壁。,沙上之国崩毁后如同流星群一般转瞬即逝的诸多城邦最终如同夜幕下的蜃气楼—般消散。蓝宝石之城的园圃却依托白之树与地脉的力量保存了下来，成为了菌株的乐园…,暂无,否,否,暂无,,"['摩拉', '冒险阅历']","['陆行水本真蕈', '旋转冰蕈兽', '旋转雷蕈兽', '有翼草本真蕈', '浮游草蕈兽', '有翼冰本真蕈']",https://uploadstatic.mihoyo.com/ys-obc/2022/09/26/79683714/2f4204e8c3ba3be0a2cdd93fe21ec601_7952520083854721100.png,暂无,草,instance
4817,蜃景祭场,镇灵曾以此地为自由的剧场，无忧无虑的乐园；蛮荒的沙漠民也曾以此地为祭场纪念失去的时代…但虚假屋景的一切悲喜，只有消隐融入地脉洪流一途。,如今建立在沙上的楼阁已经倒塌。但无法忘记沙王之梦的部族依然迷失在其中，憎惧着林中的繁荣，在刀剑上涂抹蝎毒。,暂无,否,否,暂无,,"['摩拉', '冒险阅历']","['镀金旅团·破阵者', '魔岩役使', '镀金旅团·炽阳凝冰', '镀金旅团·鸦喙戟手', '镀金旅团·机弩兵', '镀金旅团·沙中净水', '镀金旅团·白日鸣雷', '灵风猎手', '镀金旅团·刀舞者']",https://uploadstatic.mihoyo.com/ys-obc/2022/09/26/79683714/12dea15557722a97c1c6d7e1819074bd_8993988888657225901.png,暂无,草,instance
1781,北风之狼的庙宇,此地曾是祭祀四风守护中北风之狼的庙宇。如今祭祀已经不再，庙宇也被魔物侵占，但相传狼之灵仍在某处守望着蒙德一望无际的绿野。,在这座遗迹中发现了如今覆灭的古文明的试炼场之一。要通过试炼，就必须掌握火与雷的力量，猛火迅雷般地打倒敌人。,暂无,否,否,暂无,,"['摩拉', '冒险阅历']","['愚人众·雷萤术士', '雷箭丘丘人', '火史莱姆', '冰深渊法师', '大型冰史莱姆', '木盾丘丘暴徒', '射手丘丘人', '打手丘丘人', '冰史莱姆', '大型火史莱姆', '火深渊法师', '木盾丘丘人']",https://uploadstatic.mihoyo.com/ys-obc/2021/04/17/79683714/8c44ab359cf14de15a7d0d24f34e23ab_3041954179393834559.png,暂无,暂无,instance
1407,南风之狮的庙宇,人们曾经祭祀南风之狮的殿堂，如今已经废弃。有民俗传说说，乘着和风在蒙德大地四处生长的蒲公英，象征着南风之狮广布的恩泽。,为了遏制风魔龙的灾厄，骑士团的成员前往各地展开行动。与图书管理员丽莎一同深入南风之狮的庙宇，阻止风魔龙获取其中的力量吧。,暂无,否,否,暂无,,"['摩拉', '冒险阅历']","['丘丘人', '火史莱姆', '冰史莱姆', '水深渊法师', '冰箭丘丘人', '冲锋丘丘人', '火箭丘丘人', '射手丘丘人', '打手丘丘人', '火斧丘丘暴徒', '水史莱姆', '大型冰史莱姆', '木盾丘丘人', '大型水史莱姆']",https://uploadstatic.mihoyo.com/ys-obc/2020/12/02/82327235/31da97539b128cd779cb772433df0ab4_7084894648850330367.png,暂无,暂无,instance
2366,阵代屋敷,曾属于远吕羽氏尊麾下将领的屋亭。直到在其生涯的最末，他、神骸与天空都被—线的闪电切断。,需要完成前置任务：远吕羽氏遗事·其三，然后完成该秘境前的篝火解谜即可开启。,暂无,否,否,暂无,,"['摩拉', '冒险阅历']","['海乱鬼·雷腾', '海乱鬼·炎威', '野伏·机巧番', '盗宝团·雷之药剂师', '盗宝团·水之药剂师', '野伏·火付番']",https://uploadstatic.mihoyo.com/ys-obc/2021/07/11/79683714/a40e4a8ab4f633d973636b2bacdb8993_4663966660605644568.png,暂无,风,instance
2637,池中宅邸,据说在月光更加明亮的岁月中，池中尚并未灌入海水，将府邸的入口封锁。据说过去，月光会如同水银般盈满并户。,曾经名震稻妻诸海的「海御前」故宅中，有着借酒赏世外之花的窗口。如今宅邸无主，只有盗匪与贼人踞身其中。,暂无,否,否,暂无,,"['摩拉', '冒险阅历']","['野伏·阵刀番', '盗宝团·火之药剂师', '盗宝团·冰之药剂师', '愚人众·藏镜仕女', '盗宝团·拳术家']",https://uploadstatic.mihoyo.com/ys-obc/2021/08/26/79683714/52624f8942e44c94f684859be054cb5e_8261470043025088716.png,暂无,风,instance
2866,茂知之壳,不知何人在雾海之外建立的宅邸。如今似乎被来自外界，吞食思绪的群狼占据了。,无主的宅邸如今成为了兽境魔物的栖身之所。击败其中的魔物，搜寻其中的宝藏吧。,暂无,否,否,暂无,,"['摩拉', '冒险阅历']","['嗜雷·兽境猎犬', '丘丘岩盔王', '嗜岩·兽境幼兽', '火斧丘丘暴徒', '嗜雷·兽境幼兽', '嗜岩·兽境猎犬']",https://uploadstatic.mihoyo.com/ys-obc/2021/10/08/79683714/7e54f49e442597c6df63e4774627060f_5368606679554241307.png,暂无,岩,instance
4483,伞盖的荫蔽,在诗人的语言中，孢子与树一样，彼此相连，整个宇宙的菌群共享着同一个梦。在梦的尽头孢子替代了万物的形态，而这万物又回归原始，回归为一，不再有边界。 但菌类进化成有知觉、有活动能力的生物并不是那么原始的时代发生的事情。无论如何，此间不知出于何种缘由成为了蕈类的沃土。一般复杂的迷宫，来守护晴雨的秘密。,据说这里原本是实验孢子适应能力与进化能力的天然试验场之一。无论这种说法属实与否，这里异常的地脉环境无疑是苹兽进化的温床。必须有人在它们继续生长，危急森林以及森林外的世界之前截断进化的道路才行。,暂无,否,否,暂无,,"['摩拉', '冒险阅历']","['陆行水本真蕈', '伸缩风蕈兽', '伸缩岩蕈兽', '浮游水蕈兽', '旋转冰蕈兽', '旋转雷蕈兽', '伸缩火蕈兽', '有翼草本真蕈', '浮游草蕈兽', '有翼冰本真蕈']",https://uploadstatic.mihoyo.com/ys-obc/2022/08/21/79683714/b0e3de182ca4e83384b167d336eff564_8660111831059320483.png,暂无,草,instance
2330,借景之馆,据说是古时避世的武人在大地深处借世外之景，修建的华美宅邸。日后有人在其中发现了如同白纸一般失心的倾奇者。,需要在任务 [踏鞴物语] 中解锁神无冢的三架大炮，然后调整角度开炮即可炸开秘境。,暂无,否,否,暂无,,"['摩拉', '冒险阅历']","['野伏·阵刀番', '野伏·火付番', '愚人众·藏镜仕女', '愚人众·火之债务处理人']",https://uploadstatic.mihoyo.com/ys-obc/2021/07/11/79683714/3d6d7828f4d88e35ecf3ad877a0bce95_5437048026592429767.png,暂无,风,instance
670,曲径通幽之处,虽然盗宝团早已听闻此处藏有秘宝，却未曾发现此处。世间妄念也是越执着越求不到，直到心放下的一刻方能曲径通幽。,此处曾是某人梦想中的桃源之地。探索此处，寻找曾经桃源的富足，再次赐予此处和平吧。,暂无,否,否,暂无,,"['摩拉', '冒险阅历']","['雷箭丘丘人', '岩丘丘萨满', '丘丘岩盔王', '岩盾丘丘人', '冰箭丘丘人', '冲锋丘丘人', '火箭丘丘人', '风丘丘萨满']",https://uploadstatic.mihoyo.com/ys-obc/2020/06/16/4839652/9ff89fd2fc4549c1d1fc2ea208502ded_147676387472554603.png,暂无,暂无,instance
2309,千门虚舟,过去曾经如孤舟般漂游在海上的天狗别馆，曾接待过当时小有名气的「影向役者三人众」；后来成了此人灰心之后虚度余生的樊笼，沉入了海下。,这里曾经是某位影向天狗最后的隐居之所。解开遗世之人留下的谜题，击败擅闯的贼人吧。,暂无,否,否,暂无,,"['摩拉', '冒险阅历']",[],https://uploadstatic.mihoyo.com/ys-obc/2021/07/11/79683714/9db65012cab8b07253d1d5090448f603_8051742253889120572.png,暂无,风,instance
671,墟散人离之处,来此之人多是为了附近的秘宝。曾经繁华的集落此刻只剩下了断壁残垣，曲终人散场不过也是寻常事罢了。,命中若有奇遇，才能来到此云海蒸腾的仙境。外面看起来幽深，内里却并不安全。,暂无,否,否,暂无,,"['摩拉', '冒险阅历']","['火深渊法师', '丘丘岩盔王']",https://uploadstatic.mihoyo.com/ys-obc/2020/06/16/4839652/64999da17274684ae7933e46bc1f1652_92560852555886730.png,暂无,暂无,instance
707,华清归藏密宫,虽然看起来只是一方清池，下面却相传埋藏着足以昏乱凡人心智的宝藏。可惜世间已经难寻一人来解归藏之秘了。,此处乃是云海洞天。旧主归终研究机关之学时，收纳了这几件古旧邪物。仙人们则造洞天收纳。,暂无,否,否,暂无,,"['摩拉', '冒险阅历']","['盗宝团·粉碎者', '盗宝团·杂工', '愚人众·雷萤术士', '盗宝团·火之药剂师', '愚人众·火之债务处理人', '盗宝团·斥候', '盗宝团·冰之药剂师', '遗迹猎者', '盗宝团·雷之药剂师', '盗宝团·神射手', '盗宝团·拳术家', '盗宝团·水之药剂师', '遗迹守卫', '盗宝团·掘墓者']",https://uploadstatic.mihoyo.com/ys-obc/2020/06/24/4839652/e841093e941d289c691842656a6c6ade_2474544211963725120.png,暂无,暂无,instance
1782,西风之鹰的庙宇,这座遗迹中，曾经供祭着四风守护中，象征恩慈的西风之鹰。鹰的庙宇千年长久地守望着风起地，或许其中仍盘桓着悠远过去的风吧。,虽然在大地深处，这座废都中却涌动着狂风。为了探寻其中的秘宝，向遗迹的深处进发吧。,暂无,否,否,暂无,,"['摩拉', '冒险阅历']","['木盾丘丘暴徒', '雷箭丘丘人', '水史莱姆', '打手丘丘人', '火箭丘丘人', '风史莱姆', '大型雷史莱姆', '大型冰史莱姆', '木盾丘丘人']",https://uploadstatic.mihoyo.com/ys-obc/2021/04/20/79683714/c5f565b8bdfd6cfeab1836776b9291b0_3462585706532953933.png,暂无,暂无,instance
373,仲夏庭园,随着远古的文明失落，曾经繁茂伟大的夏宫灵囿也被深埋地底。或许只有其中的古树与砖石，仍记得过去的景象吧…,这座远古的祝圣祭坛中，聚集着惧怕火元素的魔物。若能通过其中的试炼，或许能获得珍贵的圣遗物。,原粹树脂*20,是,否,暂无,"['行者之心', '平息鸣雷的尊者', '冒险家', '如雷的盛怒']","['摩拉', '冒险阅历']","['水深渊法师', '大型水史莱姆', '冰深渊法师', '雷萤', '水史莱姆', '变异型雷史莱姆', '水丘丘萨满', '愚人众·雷萤术士', '大型雷史莱姆', '大型冰史莱姆', '冰史莱姆', '木盾丘丘人', '雷史莱姆']",https://uploadstatic.mihoyo.com/ys-obc/2020/03/30/4328207/7236e39ff209643db0d9d3746d7439b6_1361980185724163509.png,引发融化反应时，会释放能量冲击，对周围的敌人造成伤害。,火,instance
374,铭记之谷,后来又有一段时间，大地上的人们失去了过去。他们试图向下探索，寻找已经被遗忘的东西。古树树洞的另一端，过去的秘密凝结成了宝藏。,这座远古祝圣祭坛中，聚集着畏惧存粹武力的魔物。若能通过其中的试炼，或许能获得珍贵的圣遗物。,原粹树脂*20,是,否,暂无,"['被怜爱的少女', '奇迹', '游医', '翠绿之影']","['摩拉', '冒险阅历']","['盗宝团·火之药剂师', '盗宝团·海上男儿', '盗宝团·粉碎者', '愚人众·雷萤术士', '盗宝团·杂工', '愚人众·火之债务处理人', '盗宝团·掘墓者', '盗宝团·雷之药剂师', '盗宝团·斥候', '盗宝团·冰之药剂师', '盗宝团·拳术师', '盗宝团·水之药剂师']",https://uploadstatic.mihoyo.com/ys-obc/2020/03/30/4328207/5983cac48948a953027c9cf1b5583ae4_4503346464479263794.png,队伍中所有角色造成的物理伤害提高75%。,无,instance
1813,山脊守望,矗立在山脊的起点，如同界碑一般守望着南与北、山岳与水泽的远古城墟。传说中它的门扉只对心中燃烧着永不熄灭的烈火的人敞开，为他们祝圣戴冠。,精神与躯体足够强韧、面临伤害而不屈服的人，在这间祭场中就能获得护佑。 能成功克服其中试炼者，或许就能获得珍贵的圣遗物，获得实现遥不可及的梦想的助力。,原粹树脂*20,是,否,暂无,"['勇者之心', '苍白之火','武人','千岩牢固']","['摩拉', '冒险阅历']","['大型火史莱姆', '火史莱姆', '冲锋丘丘人', '岩盾丘丘暴徒', '岩龙蜥', '火斧丘丘暴徒']",https://uploadstatic.mihoyo.com/ys-obc/2021/04/17/79683714/5bd62dddb981edae06087f872af6e31e_8487628360384306807.png,敌人的攻击命中处于护盾庇护下的角色时，会进行反噬：在攻击的敌人位置处释放冲击波，造成范围伤害。该效果每2秒只能触发一次。,水、冰、岩,instance
376,无妄引咎密宫,有一秘法会从八门之中隐去一门，断绝邪恶的出路，而古时曾有人在此作法把妖魔困入。相传外面的七柱暗合七门之法，镇压着一只恶螭龙。,这座远古地脉祭坛中，聚集着觊觎着其中地脉镇石的魔物。若能驱使冰元素的力量粉碎魔物，保护镇石不被破坏，或许能获得珍贵的圣遗物。,原粹树脂*20,是,否,暂无,"['炽烈的炎之魔女', '守护之心', '渡过烈火的贤人', '武人']","['摩拉', '冒险阅历']","['大型火史莱姆', '变异雷史莱姆', '大型水史莱姆', '愚人众·雷萤术士', '水史莱姆', '打手丘丘人', '火深渊法师', '大型雷史莱姆', '雷萤', '火斧丘丘暴徒']",https://uploadstatic.mihoyo.com/ys-obc/2020/03/30/4328207/daa58c91425ccf4eaacc0b5452d2378a_4235376165403177558.png,冰冻反应的持续时间大幅提升。引发超导反应时，会释放能量冲击，对周围的敌人造成伤害。,冰,instance
377,华池岩岫,奥藏山可说是山如其名，诸妙藏奥。此地天池粗看不过普通绝景，其实内藏有一岩洞，可接天上，能吐白云。「白云出岫」——并不是这么来的。,这座远古祝圣祭坛中，聚集着惧怕岩元素的魔物。若能通过其中的试炼，或许能获得珍贵的圣遗物。,原粹树脂*20,是,否,暂无,"['染血的骑士道','学士', '赌徒', '昔日宗室之仪']","['摩拉', '冒险阅历']","['冰深渊法师', '火深渊法师', '水深渊法师']",https://uploadstatic.mihoyo.com/ys-obc/2020/03/30/4328207/40121fb023668f9a9528e393f91e6bd5_2332794977535514323.png,队伍中所有角色造成的岩元素伤害提高75%。,岩,instance
