name,mhy_id,label
秘仪圣殿,1,place
赤王陵,2,place
避让之丘,3,place
铄石之丘,4,place
饱饮之丘,5,place
丰饶绿洲,6,place
荼诃落谷,7,place
活力之家,8,place
阿如村,9,place
舍身陷坑,10,place
圣显厅,11,place
觉王之殿,12,place
往昔的桓那兰那,13,place
降诸魔山,14,place
维摩庄,15,place
奥摩斯港,16,place
水天丛林,17,place
荼诃之座,18,place
喀万驿,19,place
禅那园,20,place
谒颂幽境,21,place
天臂池,22,place
须弥城,23,place
茸蕈窟,24,place
卡萨扎莱宫,25,place
离渡谷,26,place
香醉坡,27,place
化城郭,28,place
无郁稠林,29,place
采樵谷,30,place
伏鳌谷,31,place
地面矿区,32,place
丹砂崖,33,place
天工峡,34,place
巨渊之口,35,place
琉璃峰,36,place
千来神祠,37,place
知比山,38,place
逢岳之野,39,place
笈名海滨,40,place
菅名山,41,place
惑饲滩,42,place
茂知祭场,43,place
平海砦,44,place
天云峠,45,place
越石村,46,place
「清籁丸」,47,place
浅濑神社,48,place
望泷村,49,place
珊瑚宫,50,place
水月池,51,place
曚云神社,52,place
踏鞴砂,53,place
九条阵屋,54,place
名椎滩,55,place
无想刃狭间,56,place
无明砦,57,place
绯木村,58,place
蛇神之首,59,place
蛇骨矿洞,60,place
藤兜砦,61,place
刃连岛,62,place
鸣神大社·神樱,63,place
稻妻城,64,place
甘金岛,65,place
白狐之野,66,place
绀田村,67,place
离岛,68,place
影向山,69,place
镇守之森,70,place
神里屋敷,71,place
荒海,72,place
覆雪之路,73,place
雪葬之都·旧宫,74,place
眠龙谷,75,place
寒天之钉,76,place
星荧洞窟,77,place
雪葬之都·近郊,78,place
蒙德城,79,place
果酒湖,80,place
低语森林,81,place
星落湖,82,place
摘星崖,83,place
望风山地,84,place
望风角,85,place
千风神殿,86,place
清泉镇,87,place
晨曦酒庄,88,place
奔狼领,89,place
风起地,90,place
达达乌帕谷,91,place
誓言岬,92,place
鹰翔海滩,93,place
马斯克礁,94,place
风龙废墟,95,place
明冠峡,96,place
石门,97,place
荻花洲,98,place
望舒客栈,99,place
轻策庄,100,place
无妄坡,101,place
地中之盐,102,place
归离原,103,place
渌华池,104,place
明蕴镇,105,place
瑶光滩,106,place
翠玦坡,107,place
绝云间,108,place
庆云顶,109,place
奥藏山,110,place
华光林,111,place
琥牢山,112,place
南天门,113,place
天遒谷,114,place
遁玉陵,115,place
灵矩关,116,place
青墟浦,117,place
璃月港,118,place
天衡山,119,place
孤云阁,120,place
蛇肠之路,121,place
狭间之街,122,place
大日御舆,123,place
常夜灵庙,124,place
蛇心之地,125,place
歧之地,126,place
八衢彦之地,127,place
八衢姬之地,128,place
桓那兰那,129,place