id,name,rarity,type,source,refresh,intro,relatedFurnish,relatedFood,label
69,风雅的教导,2星,天赋培养素材,活动获得/堇色之庭精通秘境:初雷幽谷,周二/周五/周日,"雷之国土的姿容是风雅。风雅是不谄媚。风雅之人永远是高贵的。正似只愿高飞与雷暴争鸣的海鹰;迎合鄙俗则恰如将花冠倒插泥淖，仅让尊严染上了污渍。",N/A,N/A,material
70,原素花蜜,3星,角色培养素材,普通怪物掉落/合成获得/60级以上骗骗花掉落,每天,"饱含能量的黏稠蜜汁。骗骗花欺瞒猎物是为了狩猎,而狩猎进食或许是为了进化成某种更强大、更纯粹的姿态吧",N/A,N/A,material
71,尉官的徽记,3星,角色培养素材,普通怪物掉落/合成获得/60级以上先遣队掉落/60级以上债务处理人掉落/60级以上雷莹术士掉落,每天,标识着尉官身份的徽记。愚人众拥有庞大的军(姆）队，能在其中担任尉官者，想必是有过人之处吧。,N/A,N/A,material
72,勤劳的教导,2星,天赋培养素材,活动获得/太山府精通秘境:深炎之底,周二/周五/周日,"岩之国士的根基是勤劳。勤劳即为通过人的努力，克服高山与大海，追求繁荣与黄金的勇气与力量。",N/A,N/A,material
73,自在松石断片,3星,角色培养素材,N/A,每天,但风向是会转变的。,N/A,N/A,material
74,自在松石碎屑,2星,角色培养素材,N/A,每天,角色突破素材,N/A,N/A,material
75,历战的箭簇,3星,角色培养素材,普通怪物掉落/合成获得/60级以上射手类丘丘人掉落,每天,"老旧的、沾染了干涸血迹的箭簇。箭头在反复的使用中已经失去了应有的锐利，根本不能作为武器使用。但它也代表着猎手的骄傲，是它们的护身符与奖章。",N/A,N/A,material
76,勤劳的指引,3星,天赋培养素材,合成获得/活动获得/太山府精通秘境:深炎之底,周二/周五/周日,"岩之国土的根基是勤劳。勤劳是是流传在璃月人血脉中的催化剂，能将岩石化为黄金，是伟大商港之所以为伟大商港的原因。",N/A,N/A,material
77,雾虚草囊,3星,角色培养素材,普通怪物掉落/合成获得/40级以上萤术士掉落,每天,保存完好的雾虚草，有的人会利用飞萤对雾虚草的喜好，来控制它们。,N/A,N/A,material
78,雾虚花粉,2星,角色培养素材,普通怪物掉落/萤术士掉落,每天,雾虚草在密闭空间中会产生的奇妙孢子，是飞萤喜好的食物。,N/A,N/A,material
79,哀叙冰玉断片,3星,角色培养素材,N/A,每天,『•••抱歉•••』,N/A,N/A,material
80,哀叙冰玉碎屑,2星,角色培养素材,N/A,每天,角色突破素材,N/A,N/A,material
81,史莱姆原浆,3星,角色培养素材,普通怪物掉落/合成获得/60级以上史莱姆掉落,每天,浓缩的史莱姆原浆，静置时会自主进行不规则运动。,N/A,N/A,material
82,诗文的指引,3星,天赋培养素材,合成获得/活动获得/忘却之峡精通秘境:沉睡之国,周三/周六/周日,"风之国土的灵魂是诗文。诗文是激励的心意。在黯淡的日子里，穿过巷道的风中低语着愤怒的诗文，如同战鼓，如同风暴前的低鸣。",N/A,N/A,material
83,诗文的教导,2星,天赋培养素材,活动获得/忘却之峡精通秘境:沉睡之国,周三/周六/周日,"风之国土的灵魂是诗文。诗文是美好的心意。在美好的日子里，吹拂原野的风中飘扬着田园诗、情诗，如和风拨动草叶般拨动人们的心。",N/A,N/A,material
84,混沌枢纽,3星,角色培养素材,精英怪物掉落/遗迹机兵掉落,每天,N/A,N/A,N/A,material
85,混沌机关,2星,角色培养素材,精英怪物掉落/遗迹机兵掉落,每天,来自不再活动的古代遗迹机关。似乎是拟生机关的动力来源。,N/A,N/A,material
86,地脉的枯叶,3星,角色培养素材,普通怪物掉落/合成获得/40级以上深渊法师掉落,每天,来自深邃地底的植物枝条。即使远离它的原主，其中也残留着低沉脉动的力量。,N/A,N/A,material
87,地脉的旧枝,2星,角色培养素材,普通怪物掉落/深渊法师掉落,每天,来自深邃地底的脆弱枯枝。即使饱经岁月，也能从斑驳的树皮下，看出尚未散尽的力量。,N/A,N/A,material
88,自由的指引,3星,天赋培养素材,合成获得/活动获得/忘却之峡精通秘境:霜凝祭坛,周一/周四/周日,"风之国土的精神是自由。自由其二，是漫游的自由，即是能在苍翠的土地上自由地通行，而不受阻挠的自由。",N/A,N/A,material
89,自由的教导,2星,天赋培养素材,活动获得/忘却之峡精通秘境:霜凝祭坛,周一/周四/周日,"风之国土的精神是自由。自由其一，是生存的自由，即是能健全、健康地生活，而不必担心朝不保夕的自由。",N/A,N/A,material
90,浮世的指引,3星,天赋培养素材,合成获得/活动获得/堇色之庭精通秘境:堇染之国,周一/周四/周日,"雷之国土的梦想是浮世。。浮世之难求乃是人之美的价值所在。人之在世岂不与雷影相似?意欲追逐掇取则遥踞云端，灯火阑珊的静谧之时却不期而来。",N/A,N/A,material
91,浮世的教导,2星,天赋培养素材,活动获得/堇色之庭精通秘境:堇染之国,周一/周四/周日,"雷之国土的梦想是浮世。。浮世之荣华乃是人之美的最高体现。人之在世岂不与疾电相类?如美梦或花火般浮华-瞬，在永恒的夜幕中留下绚烂的印记。",N/A,N/A,material
92,坚牢黄玉断片,3星,角色培养素材,N/A,每天,大陆所流通的一切银钱皆是我的血肉。,N/A,N/A,material
93,坚牢黄玉碎屑,2星,角色培养素材,N/A,每天,角色突破素材,N/A,N/A,material
94,名刀镡,3星,角色培养素材,普通怪物掉落/野伏众掉落,每天,装配在名刀上的华美护具。有人坚信刀剑有灵魂、有生命，这也是为什么人们会为刀起名。爱护刀的人，也会得到刀的赏识。但与刀剑成为挚友、甚至爱人的人，须知这份情义是由杀伐浇灌的。常常浴血、与刀共舞之人，他们的热血最终总会被薄情的钢铁冷却。,N/A,N/A,material
95,璀璨原钻碎屑,2星,角色培养素材,冒险等阶奖励,不定,角色突破素材。欢迎来到世界。,N/A,N/A,material
96,结实的骨片,3星,角色培养素材,普通怪物掉落/合成获得/40级以上幼岩龙蜥掉落,每天,出于某种理由，幼龙蜥十分珍惜的某种生物骨片。,N/A,N/A,material
97,脆弱的骨片,2星,角色培养素材,普通怪物掉落/幼岩龙蜥掉落,每天,"从幼岩龙蜥身上找到的某种骨片。尽管十分脆弱，其中似乎蕴含着某种难以言喻的力量。",N/A,N/A,material
98,禁咒绘卷,3星,角色培养素材,普通怪物掉落/合成获得/60级以上丘丘萨满掉落,每天,绘制着古代形象的古书抄本。鲜有人能解读它的含义;据说最终理解了其中真意的学者最终都陷入了癫狂。,N/A,N/A,material
99,特工祭刀,3星,角色培养素材,普通怪物掉落/合成获得/40级以上债务处理人掉落,每天,N/A,N/A,N/A,material
100,猎兵祭刀,2星,角色培养素材,普通怪物掉落/债务处理人掉落,每天,某种锋利的合金武具。即便失去了原本的主人仍反射着令人不安的寒光。,N/A,N/A,material
101,涤净青金断片,3星,角色培养素材,合成获得/40级以上纯水精灵掉落,每天,我的理想之内并没有一丝污浊。,N/A,N/A,material
102,涤净青金碎屑,2星,角色培养素材,纪念品商店兑换纯水精灵掉落,每天,角色突破素材,N/A,N/A,material
103,藏银鸦印,2星,角色培养素材,普通怪物掉落/合成获得/40级以上盗宝团成员掉落,每天,N/A,N/A,N/A,material
104,琉璃袋,1星,璃月区域特产,璃月山壁采集不卜庐阿桂处购买望舒客栈菲尔戈黛特处购买,两天,拥有旺盛生命力的小花，传说朝下盛开的花姿是为了守住它的香气。,N/A,水煮黑背鲈万民堂水煮鱼岩港三鲜,material
105,绝云椒椒,1星,璃月区域特产,推荐：轻策庄采摘,两天,璃月地方特产的辛辣植物。只要闻到它的味道，身体就会变得炽热，渴求水分。,N/A,翡玉什锦袋辣肉窝窝头水煮黑背鲈轻策农家菜万民堂水煮鱼绝云锅巴兽肉薄荷卷香嫩椒椒鸡摇·滚·鸡！凉拌薄荷爆炒肉片炝炒肉片,material
106,寻宝鸦印,1星,角色培养素材,普通怪物掉落/盗宝团成员掉落,每天,N/A,N/A,N/A,material
107,微光花蜜,2星,角色培养素材,普通怪物掉落/合成获得/40级以上骗骗花掉落,每天,N/A,N/A,N/A,material
108,骗骗花蜜,1星,角色培养素材,普通怪物掉落/骗骗花掉落,每天,从花蕊中提取出的花蜜，其中含有元·素。尝起来和甜甜花的味道有些微妙地相似。,N/A,N/A,material
109,晶化骨髓,1星,稻妻区域特产,稻妻采集,两天,蕴含着祟神力量的晶体。冶炼时加入这种物质的话，能极大地提高钢铁制品的强度与韧性。,N/A,N/A,material
110,风车菊,1星,蒙德区域特产,风起地七天神像附近采集野外树下采集推荐：风龙废墟采集,两天,喜好风的植物。对于崇信风、本身也如风一般爽朗自在的蒙德人而言，风车菊便是看得见的风,N/A,N/A,material
111,浮游幽核,2星,角色培养素材,普通怪物掉落/合成获得/40级以上飘浮灵掉落,每天,"能让飘浮灵浮游的能量核。这种元素生物似乎有奇异的习性，会周期性大量涌现、消失。",N/A,N/A,material
112,浮游干核,1星,角色培养素材,普通怪物掉落/飘浮灵掉落,每天,"能让飘浮灵浮游的能量核，其中含有些微的元素。大部分的能量似乎已经逸散了。",N/A,N/A,material
113,落落莓,1星,蒙德区域特产,望风山地采集,两天,饱满透亮的莓果，在口中绽放出清甜的花香。在过去，守望风暴的人仅有的慰藉便是落落莓的甜蜜与城市安宁的希望。,N/A,N/A,material
114,牢固的箭簇,1星,角色培养素材,普通怪物掉落/射手类丘丘人掉落,每天,做工粗糙的箭簇。即使如此，也不容小觑:弩是危险的武器，即使贵为骑士，也可能被从后方来的弩矢击倒。,N/A,N/A,material
115,锐利的箭簇,2星,角色培养素材,普通怪物掉落/合成获得/40级以上射手类丘丘人掉落,每天,做工精良的箭簇。锐利的尖端或许能像投石入水一样轻易穿透敌人的甲胄，没入猎物的体内。,N/A,N/A,material
116,钩钩果,1星,蒙德区域特产,奔狼领采集,两天,带着钩刺的莓果，会挂在狼的毛皮上来迁徙。看见它时，仿佛能听见狼的凄嚎在林间回荡,N/A,N/A,material
117,珊瑚真珠,1星,稻妻区域特产,稻妻采集,两天,与海衹的珊瑚相伴而生的宝珠，散发着月光般的丝丝凉意。,N/A,N/A,material
118,天云草实,1星,稻妻区域特产,稻妻采集/清籁岛采集,两天,生长在清籁岛的天云草结成的果实，贴在耳畔能听见微弱的电流声。,N/A,N/A,material
119,鸣草,1星,稻妻区域特产,稻妻采集/稻妻城商店购买,两天,N/A,N/A,N/A,material
120,夜泊石,1星,璃月区域特产,璃月山洞内采集/璃月港解翠行老板石头处购买/明蕴镇采集璃月港解翠行老板石头处购买,两天,稀有的特质矿石，在静谧的暗夜里会幽幽地发光。据称是天地间奔流的元素在异变中凝聚成的珍奇宝石。,N/A,N/A,material
121,星螺,1星,璃月区域特产,璃月海滩采集,两天,随着海潮来到沙滩上的螺。将耳朵凑近空壳，能听见海充满思念的呼唤。,N/A,N/A,material
122,鬼兜虫,1星,稻妻区域特产,稻妻采集,两天,栖息在雷元素富集区的奇异甲虫。与甲壳上宛如怒目而视的恶鬼之恰恰相反，鬼兜虫其实非常温顺迟钝。,N/A,N/A,material
123,蒲公英籽,1星,蒙德区域特产,蒙德城门采集）,两天,随风而行的细小种子。即使拔去了旅行的羽絮，其中也寄宿着远方的希望吧。,N/A,N/A,material
124,士官的徽记,2星,角色培养素材,普通怪物掉落/合成获得/40级以上先遣队掉落/40级以上债务处理人掉落/40级以上雷莹术士掉落,每天,标识着士官身份的徽记，有着区分一般士兵的奇异造型。其中或许蕴含复杂的情绪吧。,N/A,N/A,material
125,破旧的刀镡,1星,角色培养素材,普通怪物掉落/野伏众掉落,每天,装配在稻妻刀剑上的护具，见证过许多战斗对剑术纯熟者而言，镡可以在实战中阻挡对手的刀刃;而对于新手剑士，镡是保护自己右手的关键。,N/A,N/A,material
126,新兵的徽记,1星,角色培养素材,普通怪物掉落/先遣队掉落/债务处理人掉落/雷萤术士掉落,每天,标识着新兵身份的徽记。不知曾经带着它的人，是怀着何种心情加入愚人众的战争机器呢？,N/A,N/A,material
127,影打刀镡,2星,角色培养素材,普通怪物掉/落野伏众掉落,每天,装配在优秀刀剑上的护具。稻妻有悠久的刀剑锻冶传统。匠人锻造一把刀时，常常会制造数柄样品，从中甄选。其中最为优秀的作品是为真打，而其余的则被称为影打。,N/A,N/A,material
128,绯樱绣球,1星,稻妻区域特产,稻妻采集,两天,从鸣神大社的神樱上飘落的花瓣，怀着稻妻大地的眷顾。,N/A,绯樱饼三彩团子红炉一点雪绯樱天妇罗夏祭游鱼,material
129,清心,1星,璃月区域特产,石林顶端采集/绝云间采集/孤云阁采集/不卜庐购买,两天,只生长在孤高石峰的通透白花。不愿接受平原的温暖与湿润，宁可在清冷的尖峰眺望远方。,N/A,天枢肉,material
130,封魔绘卷,2星,角色培养素材,普通怪物掉落/合成获得/40级以上丘丘人萨满掉落,每天,模糊地绘制了难解形象的古书断章。通过模仿其中的人物形象，一些魔物能小小地再现魔法的奇迹。,N/A,N/A,material
131,导能绘卷,1星,角色培养素材,普通怪物掉落/丘丘萨满掉落,每天,大抵是某种关于魔法的绘卷残篇。隐隐地散发着某种异样的、不详的温暖。,N/A,N/A,material
132,慕风蘑菇,1星,蒙德区域特产,蒙德城采集/清泉镇采集/晨曦酒庄采集/风起地小女孩处购买,两天,沐浴着和煦的风而生长的菌类，与风一样生生不息，滋养生命。,N/A,N/A,material
133,血斛,1星,稻妻区域特产,稻妻采集,两天,在诗文中也被称为赤蕊的鲜艳植物，一度在稻妻列岛绝迹，如今在战场上再度重现。传说在血腥的战场上，它们开得格外妖艳。,N/A,N/A,material
134,琉璃百合,1星,璃月区域特产,/轻策庄磨坊主小白处购买/璃月港玉京台采集推荐/轻策庄采集,两天,极为古老的花卉。据说曾经遍布璃月大地，能将大地的记忆积攒成花期时的芬芳。,N/A,N/A,material
135,石珀,1星,璃月区域特产,璃月山壁下采集/璃月港商人长顺处购买/琥牢山采集,两天,极纯的岩元素凝成的珍稀晶石，常与其他矿物伴生。也被称为岩之心。,N/A,N/A,material
136,嘟嘟莲,1星,蒙德区域特产,清泉镇采集,两天,生长在水边的花。花瓣经过烹制口感爽脆，清甜微苦。,N/A,嘟嘟莲海鲜羹极致一钓,material
137,小灯草,1星,蒙德区域特产,奔狼领采集/低语森林采集,两天,在夜间会隐隐散发辉光的野花。与其他食材一同烹饪能提升鲜味。,N/A,蒙德往事堆高高黄油煎鱼林之梦,material
138,海灵芝,1星,稻妻区域特产,海岛采集,两天,在某些特殊的海域中、岛屿上才会生长的特殊物种。虽然外形看起来像菌类，但其实是由软体生物分泌增生而成的。,N/A,N/A,material
139,污秽的面具,2星,角色培养素材,普通怪物掉落/合成获得/40级以上丘丘人掉落/40级以上射手类丘丘人掉落/40级以上丘丘萨满掉落/40级以上大体格丘丘人掉落,每天,"沾满了难以辨认的污渍，散发着微妙气味的骨质面具。即使这样也要戴在脸上，这就是丘丘人的执着。",N/A,N/A,material
140,破损的面具,1星,角色培养素材,普通怪物掉落/丘丘人掉落/射手类丘丘人掉落/丘丘萨满掉落/大体格丘丘人掉落,每天,"破碎的骨质面具，曾经属于某个丘丘人。破损的部分比完整的部分更多，已经失去了假面应有的功能。",N/A,N/A,material
141,史莱姆清,2星,角色培养素材,普通怪物掉落/合成获得/40级以上史莱姆掉落,每天,"略加提纯的史莱姆分泌物，对皮肤有害,请务必避免不加防护措施的接触。",N/A,N/A,material
142,史莱姆凝液,1星,角色培养素材,普通怪物掉落/史莱姆掉落,每天,覆于史莱姆体表的浓稠流体，各地元素工坊中最常见的原料。,N/A,N/A,material
143,霓裳花,1星,璃月区域特产,璃月港附近采集/玉京台附近采集/望舒客栈附近采集/望舒客栈菲尔戈黛特处购买/轻策庄磨坊主小白处购买,两天,在璃月如霓云般盛放的妖红之花，能制成如水般顺滑的织物。,N/A,N/A,material
